ID|Abbr|Title
1|AD|Administration
2|AF|Auto Fleet Services
3|AH|Animal House/ Vivarium
4|AR|Academic Research
5|AS|Administrative Services
6|AV|Arrowhead Village Housing
7|BI|Biological Sciences
8|BK|Coyote Bookstore
9|CC|Children's Center
10|CCD|Coyote Commons
11|CE|College of Education
12|CH|Chaparral Hall
13|CS|Chemical Sciences
14|CV|Coyote Village
15|DD|Univ. Center for Developmental Disabilities
16|ES|Environ. Health & Safety
17|FM|Facilities Planning & Mgmt.
18|FO|Faculty Office Building
19|HA|HVAC Central Plant
20|HC|Student Health Center
21|HP|Health & PE Complex/Coussoulis Arena
22|IC|Information Centers
23|JB|Jack H. Brown Hall
24|MC|Meeting Center
25|OB|Murillo Family Observatory
26|PA|Performing Arts/ Theatre/ Recital Hall
27|PE|Physical Education
28|PK1|Parking Structure West
29|PK2|Parking Structure East
30|PL|John M. Pfau Library
31|PS|Physical Sciences
32|PW|Plant/Central Warehouse
33|RF|Student Rec. & Wellness Ctr.
34|SB|Social & Behavioral Sciences
35|SH|Sierra Hall
36|SU|Santos Manuel Student Union
37|SV|Serrano Village
38|TC|Temp. Classrooms
39|TK|Temp. Kinesiology Annex
40|TO|Temp. Offices
41|UE|University Enterprises
42|UH|University Hall
43|UP|University Police
44|UV|University Village
45|VA|Visual Arts Center/Robert & Frances Fullerton Museum of Art
46|YC|Yasuda Ctr. for Ext. Learning
